2022-05-11 19:31:22,080 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":457916,"rx_success":0,"rx_failure":24,"tx_success":0,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":351}
2022-05-11 19:32:49,567 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:33:07,206 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:33:14,317 | root | INFO | Sent Msg: {"id":"tx","data":"QTog"}
2022-05-11 19:33:14,552 | root | INFO | Got Msg: {"id":"Radio","msg":"Time to TX","level":32,"tick":569969,"stack":351}
2022-05-11 19:33:14,553 | root | INFO | Got Msg: {"id":"Radio","msg":"Wait quiet","level":32,"tick":569969,"stack":351}
2022-05-11 19:33:14,818 | root | INFO | Got Msg: {"id":"Radio","msg":"Heard quiet","level":32,"tick":570229,"stack":351}
2022-05-11 19:33:14,820 | root | INFO | Got Msg: {"id":"Radio","msg":"TX","level":16,"tick":570230,"rssi":0,"snr":0,"len":3,"data":"QTog","stack":351}
2022-05-11 19:33:14,820 | root | INFO | Decoded Text: A: 
2022-05-11 19:33:15,754 | root | INFO | Got Msg: {"id":"Radio","msg":"TXDone","level":32,"tick":571165,"stack":279}
2022-05-11 19:33:16,802 | root | INFO | Got Msg: {"id":"Radio","msg":"stats","level":8,"tick":572215,"rx_success":0,"rx_failure":29,"tx_success":1,"tx_failure":0,"freq":433.551,"bw":125,"sf":12,"cr":8,"pwr":22,"stack":279}
2022-05-11 19:36:57,977 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:37:49,060 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:37:49,188 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":843643,"stack":279}
2022-05-11 19:37:50,231 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":844691,"stack":279}
2022-05-11 19:37:50,232 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":844691,"stack":279}
2022-05-11 19:39:26,124 | root | INFO | GUI started, opening serial port COM8
2022-05-11 19:39:51,928 | root | INFO | Got Msg: {"id":"Radio","msg":"Preamble","level":32,"tick":965979,"stack":279}
2022-05-11 19:39:52,975 | root | INFO | Got Msg: {"id":"Radio","msg":"Missed Header","level":4,"tick":967028,"stack":279}
2022-05-11 19:39:52,976 | root | INFO | Got Msg: {"id":"Radio","msg":"keep RXing","level":32,"tick":967028,"stack":279}
